"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 25-Jan-2024"
"NIFTY 50","23,183.90","23,347.30","23,050.00","23,205.35","23,092.20","-","-113.15","-0.49","26,43,36,332","24,412.33","26,277.35","21,281.45","-2.68","8.15"
"HINDUNILVR","2,332.85","2,380.80","2,323.00","2,321.70","2,380.10","-","58.40","2.52","16,88,664","398.35","3,035.00","2,172.05","1.39","-2.48"
"BRITANNIA","5,037.70","5,108.00","5,013.15","5,012.60","5,100.00","-","87.40","1.74","5,09,954","258.96","6,469.90","4,641.00","7.53","-0.78"
"EICHERMOT","5,134.00","5,224.50","5,115.05","5,116.20","5,190.25","-","74.05","1.45","7,30,641","378.67","5,385.70","3,562.45","8.63","43.96"
"GRASIM","2,466.35","2,514.05","2,453.45","2,461.15","2,495.00","-","33.85","1.38","15,10,105","375.85","2,877.75","2,016.55","-0.44","19.95"
"ICICIBANK","1,203.10","1,218.00","1,202.00","1,201.75","1,213.70","-","11.95","0.99","92,16,792","1,114.48","1,362.35","985.25","-6.79","19.73"
"TATACONSUM","988.75","1,004.00","986.40","983.90","992.80","-","8.90","0.90","22,01,712","219.17","1,256.44","882.90","9.37","-12.70"
"WIPRO","319.00","322.50","316.60","317.70","319.95","-","2.25","0.71","1,74,79,586","559.19","324.60","208.50","4.85","-31.89"
"TECHM","1,719.00","1,736.40","1,705.35","1,713.40","1,724.00","-","10.60","0.62","12,57,165","216.63","1,807.70","1,162.95","1.06","30.33"
"POWERGRID","295.30","302.50","294.35","294.35","296.00","-","1.65","0.56","1,11,42,914","333.05","366.25","235.00","-4.60","20.51"
"INFY","1,865.50","1,894.90","1,864.25","1,865.45","1,875.00","-","9.55","0.51","48,87,027","919.52","2,006.45","1,358.35","-1.76","12.36"
"NESTLEIND","2,202.00","2,222.75","2,190.10","2,198.95","2,209.90","-","10.95","0.50","6,63,600","146.74","2,778.00","2,145.40","1.90","-11.05"
"BHARTIARTL","1,634.05","1,661.90","1,634.05","1,636.00","1,641.45","-","5.45","0.33","36,20,058","596.16","1,779.00","1,097.65","3.84","41.73"
"ITC","439.40","445.00","439.05","440.20","441.40","-","1.20","0.27","96,65,384","427.72","528.50","399.35","-7.70","-3.08"
"JSWSTEEL","930.00","953.00","925.15","929.90","931.95","-","2.05","0.22","35,38,998","332.71","1,063.00","761.75","1.15","14.31"
"TCS","4,104.00","4,178.00","4,104.00","4,145.45","4,153.10","-","7.65","0.18","19,10,099","793.76","4,592.25","3,591.50","-0.65","8.98"
"NTPC","324.80","329.90","322.10","323.65","324.00","-","0.35","0.11","74,92,600","243.87","448.45","296.85","-3.47","2.83"
"BAJAJ-AUTO","8,414.40","8,489.95","8,360.00","8,399.95","8,409.00","-","9.05","0.11","2,32,317","196.03","12,774.00","7,028.20","-4.29","10.58"
"TATASTEEL","130.50","133.20","129.31","130.37","130.50","-","0.13","0.10","3,70,92,106","485.94","184.60","122.62","-7.58","-3.00"
"HDFCLIFE","620.55","625.00","613.30","621.00","621.30","-","0.30","0.05","17,93,560","111.34","761.20","511.40","-0.22","7.27"
"TITAN","3,407.00","3,447.65","3,380.45","3,398.55","3,398.00","-","-0.55","-0.02","5,64,244","192.20","3,886.95","3,055.65","1.45","-9.76"
"HINDALCO","608.70","615.35","599.90","608.25","607.60","-","-0.65","-0.11","46,08,870","280.23","772.65","496.35","-3.28","7.00"
"BAJFINANCE","7,443.25","7,505.00","7,338.30","7,443.25","7,430.00","-","-13.25","-0.18","6,79,687","506.11","7,824.00","6,187.80","9.26","4.98"
"SBIN","749.90","753.70","739.00","745.90","744.50","-","-1.40","-0.19","1,05,79,213","789.54","912.00","603.10","-8.36","21.44"
"AXISBANK","948.00","961.80","946.10","951.05","948.55","-","-2.50","-0.26","1,44,21,921","1,376.02","1,339.65","946.10","-12.09","-8.99"
"COALINDIA","386.05","392.25","381.70","385.80","384.00","-","-1.80","-0.47","53,51,964","206.47","543.55","361.25","-0.38","-1.63"
"ASIANPAINT","2,283.00","2,296.55","2,255.05","2,276.35","2,263.50","-","-12.85","-0.56","5,43,217","123.52","3,394.90","2,207.80","-0.95","-23.29"
"KOTAKBANK","1,891.00","1,918.50","1,873.05","1,894.85","1,883.40","-","-11.45","-0.60","40,25,366","763.23","1,942.00","1,543.85","7.84","6.66"
"HCLTECH","1,800.00","1,829.40","1,791.10","1,807.00","1,796.00","-","-11.00","-0.61","31,71,259","571.83","2,012.20","1,235.00","-5.49","15.65"
"MARUTI","11,930.00","12,093.00","11,914.10","12,045.75","11,949.35","-","-96.40","-0.80","3,10,343","372.11","13,680.00","9,755.00","11.47","21.12"
"SUNPHARMA","1,829.00","1,843.10","1,808.20","1,833.60","1,818.00","-","-15.60","-0.85","12,77,935","232.87","1,960.35","1,348.50","0.18","33.17"
